Date,History
4/24/2015,14580
4/25/2015,12220
4/26/2015,10580
4/27/2015,9240
4/28/2015,3700
4/29/2015,9960
4/30/2015,17020
5/1/2015,11800
5/2/2015,9480
5/3/2015,6000
5/4/2015,14740
5/5/2015,21390
5/6/2015,24790
5/7/2015,20730
5/8/2015,15770
5/9/2015,18290
5/10/2015,14680
5/11/2015,23140
5/12/2015,24200
5/13/2015,19490
5/14/2015,32790
5/15/2015,28160
5/16/2015,11800
5/17/2015,18720
5/18/2015,16610
5/19/2015,7790
5/20/2015,25650
5/21/2015,8480
5/22/2015,13040
5/23/2015,13430
5/24/2015,16470
5/25/2015,17650
5/26/2015,10880
5/27/2015,7840
5/28/2015,15200
5/29/2015,28780
5/30/2015,6440
5/31/2015,13110
6/1/2015,14250
6/2/2015,12150
6/3/2015,17000
6/4/2015,6850
6/5/2015,39500
6/6/2015,24970
6/7/2015,18120
6/8/2015,24420
6/9/2015,16460
6/10/2015,15700
6/11/2015,16380
6/12/2015,21860
6/13/2015,14510
6/14/2015,4810
6/15/2015,20920
6/16/2015,10560
6/17/2015,18300
6/18/2015,10270
6/19/2015,11660
6/20/2015,15090
6/21/2015,11450
6/22/2015,19340
6/23/2015,8440
6/24/2015,15970
6/25/2015,14480
6/26/2015,12380
6/27/2015,12180
6/28/2015,7400
6/29/2015,7140
6/30/2015,9060
7/1/2015,10240
7/2/2015,10420
7/3/2015,11230
7/4/2015,33970
7/5/2015,23980
7/6/2015,32590
7/7/2015,19340
7/8/2015,18670
7/9/2015,11300
7/10/2015,42750
7/11/2015,13940
7/12/2015,9090
7/13/2015,15590
7/14/2015,15170
7/15/2015,33190
7/16/2015,35590
7/17/2015,4500
7/18/2015,4680
7/19/2015,14550
7/20/2015,16650
7/21/2015,10440
7/22/2015,18090
7/23/2015,10320
7/24/2015,15590
7/25/2015,5080
7/26/2015,7580
7/27/2015,11770
7/28/2015,8900
7/29/2015,9380
7/30/2015,23470
7/31/2015,17210
8/1/2015,11170
8/2/2015,10430
8/3/2015,8410
8/4/2015,10320
8/5/2015,68910
8/6/2015,26050
8/7/2015,18910
8/8/2015,14880
8/9/2015,12550
8/10/2015,23120
8/11/2015,14220
8/12/2015,15540
8/13/2015,26890
8/14/2015,11280
8/15/2015,15680
8/16/2015,7890
8/17/2015,15080
8/18/2015,19570
8/19/2015,13630
8/20/2015,21410
8/21/2015,8810
8/22/2015,12500
8/23/2015,11680
8/24/2015,14200
8/25/2015,17310
8/26/2015,9890
8/27/2015,7690
8/28/2015,16220
8/29/2015,14580
8/30/2015,5770
8/31/2015,30220
9/1/2015,13310
9/2/2015,13060
9/3/2015,20830
9/4/2015,29770
9/5/2015,33000
9/6/2015,30560
9/7/2015,21100
9/8/2015,19630
9/9/2015,14110
9/10/2015,12360
9/11/2015,14490
9/12/2015,19520
9/13/2015,11290
9/14/2015,18020
9/15/2015,28300
9/16/2015,16320
9/17/2015,13200
9/18/2015,19400
9/19/2015,18540
9/20/2015,15930
9/21/2015,22790
9/22/2015,21790
9/23/2015,33020
9/24/2015,9800
9/25/2015,4520
9/26/2015,3340
9/27/2015,3740
9/28/2015,8740
9/29/2015,20910
9/30/2015,16030
10/1/2015,8110
10/2/2015,14930
10/3/2015,12010
10/4/2015,17540
10/5/2015,21470
10/6/2015,22920
10/7/2015,21300
10/8/2015,18490
10/9/2015,9990
10/10/2015,17790
10/11/2015,14040
10/12/2015,20200
10/13/2015,29200
10/14/2015,24150
10/15/2015,28530
10/16/2015,10540
10/17/2015,6590
10/18/2015,7210
10/19/2015,18350
10/20/2015,5090
10/21/2015,13160
10/22/2015,10840
10/23/2015,8360
10/24/2015,10820
10/25/2015,7520
10/26/2015,11010
10/27/2015,4030
10/28/2015,9540
10/29/2015,7370
10/30/2015,12450
10/31/2015,13500
11/1/2015,3220
11/2/2015,13490
11/3/2015,14240
11/4/2015,12230
11/5/2015,21000
11/6/2015,45000
11/7/2015,22190
11/8/2015,12990
